"Line Item Text","Category"
"Disney+ Hotstar Prem 1,499","Entertainment"
"Sony TV install 2100/-","Utilities"
"Croma pen drive 480Rs","Shopping"
"IRCTC Meal Rs.135","Food"
"xyz mart, banana 40","Groceries"
"Reliance mart umbrella 199.00","Shopping"
"Amul buttr 55","Groceries"
"Dermat Dr. Naha consltn 760","Health"
"OyoRoom INR 1750","Travel"
"Punjab Natl Bank education loan 24000 EMI","Bills"
"Protinex powder, Medplus 475Rs","Health"
"IRCTC tour package ₹18,050","Travel"
"*zmt masala dosa 170*","Food"
"Recharge aircell 102","Utilities"
"Flipkart kurta SET 1600","Shopping"
"Amazon Kindle eBook Rs.199","Education"
"Pharmacy Dettol & Paracetamol 117","Health"
"Dr. Patel consultation fee ₹500","Health"
"IRCTC ticket Delhi-Mumbai INR 1850","Travel"
"Airtel PREPAID rechrg 349rs","Utilities"
"Flipkart-Samsung Earbuds ₹2,299","Shopping"
"big bazar: 5kg atta Rs320","Groceries"
"Netflix subsc. Aug 2025   $7.99 ","Entertainment"
"tution fee - Maths Class ₹1,800","Education"
"light BILL july2025 INR 1350","Bills"
"KFC bill Chk Zinger X2 rs362","Food"
"Ola cab ride- Airport to Banjara- ₹700","Travel"
"applo hosp mri scan rs2,000","Health"
"FreshMart vegitables 384rs","Groceries"
"amazon.com print cartridge $29.99","Shopping"
"Bookmyshow: movie tkt 2 x 240 = ₹480","Entertainment"
"uber eats: pav bhaji, coke, ₹225","Food"
"hotel stay OYO inn 1 night rs1150","Travel"
"BYJU’s subscription 1M $12.00","Education"
"bsnl landline Jan2025 415 ₹ paid","Bills"
"Recharge Vodafone 488","Utilities"
"dettol soap 3x50grm ₹99","Groceries"
"Domino’s Med pizza combo 499₹","Food"
"Swiggy – masla Dosa ₹89","Food"
"Indane gas booking ₹950","Utilities"
"Lenskart – specs for dad Rs2,199","Shopping"
"curefit gYM pass 1month ₹999","Health"
"Pepperfry- office chair Rs5099","Shopping"
"hotstar Premium Year ₹1,499","Entertainment"
"Fresh2Home fish 520 Rupee","Groceries"
"badminton coaching Aug ₹600","Education"
"BB Daily eggs 1 tray ₹135","Groceries"
"Amul Taaza milk 2Lrs rs110","Groceries"
"McDonalds- mcaloo tikki x3 225","Food"
"Yatra Airlines Blore-Hyd 4567inr","Travel"
"BSES Rajdhani July-24 915INR","Bills"
"zoom cloud monthly $15.00","Entertainment"
"Salman MedStore: Saridon x2 ₹30","Health"
"idli sambar lunch canteen rs65","Food"
"Car fuel SHELL pump Rs3,100","Travel"
"Netmeds –paracetamol, cough sy. 164₹","Health"
"Recharge Jio 799 ₹","Utilities"
"Reliance trends: men’s kurta rs1499","Shopping"
"water bill sep 2025 643₹","Bills"
"Jockey- innerwear x2 ₹580","Shopping"
"PHILIPS LED Bulb Rs130","Shopping"
"mobile bill airtel Postpaid Rs429","Bills"
"Swiggi–PastaAlfredo, Coke ₹397","Food"
"Driver Tip ₹75 for Uber cab","Travel"
"grofers: mango 2kg 208","Groceries"
"bata- sports shoes INR 1,999","Shopping"
"Starbucks caffelatte tall 212Rs","Food"
"Reliance fresh – onions 1kg 58re","Groceries"
"AmazonBasics charger Rs289","Shopping"
"pizza hut veggie explsn ₹499","Food"
"book Show: concert 1250 Rs","Entertainment"
"MERU cabs Rs790 - ind-hybd","Travel"
"Medibuddy Doc video call ₹350","Health"
"Swiggy: MeduVada ₹45","Food"
"Spar Hyper banana 1.2kg ₹72","Groceries"
"direct2home DishTV 319.00","Utilities"
"Vijetha supermart: dal ₹107","Groceries"
"Kalyan Jewellers ring Rs12,599","Shopping"
"shoppers STOP perfume 2050","Shopping"
"bescom bill aug2025 ₹1580","Bills"
"RedBus BLR-GOA sleeper 985.00","Travel"
"Mahavir chemist – Volini ₹135","Health"
"Udemy online DataScience ₹449","Education"
"myclass edge class 760.5","Education"
"Recharge BSNL pre. 257₹","Utilities"
"Dominoz: peproni  med. pizza 589","Food"
"swgy-oodles noodles+spring rolls Rs215","Food"
"Lenskart lenscleaner 99","Shopping"
"Uber ride - drop Paul Rs233","Travel"
"google ONE cloud ₹130","Utilities"
"Grocery khata - 1200 pending","Groceries"
"AVIS rent a car, Mumbai, $40","Travel"
"National Library subs fee ₹100","Education"
"apollO checkup pkg 995","Health"
"Flipkart- 16GB pen drive ₹519","Shopping"
"e Learning portal Login ₹754","Education"
"mcdonalds Mcpuff 45Rs","Food"
"Bharti bill Jan2025 679.18","Bills"
"medplus INR.600 syrup","Health"
"Ola auto Rs154 indiranagar>koramangala","Travel"
"tata sky recharging ₹380","Utilities"
"Swiggy: biriyani ₹205","Food"
"Gini & Jony kids frock 999","Shopping"
"Reliance Fresh – Papaya 85","Groceries"
"Myntra–CargoPants Rs1899","Shopping"
"flip cart: eco water bottle 245","Shopping"
"KBC payment RealityShow ₹0","Miscellaneous"
"ICICI CC payment Rs2,500","Bills"
"bluestar Ro maintain Rs499","Utilities"
"hearing test Apollo ₹800","Health"
"g pay transfer 2k (unknown vendor)","Miscellaneous"
"VFS Visa fee $89","Travel"
"nandos peri peri meal ₹532","Food"
"Bookmyshow: Saket Theatre 650","Entertainment"
"urban ladder Shoerack Rs4980","Shopping"
"grocery khata settlement 1095","Groceries"
"FreshMenu chicken salad rs300","Food"
"swiggi order TandooriRotii ₹44","Food"
"Akash BYJU’S annual ₹19,999","Education"
"axis CC annual fee 499","Bills"
"amazon.in- yoga mat Rs329","Shopping"
"Tata Power elec. Bill 2341 ₹","Bills"
"rent payment Aug25 ₹11,200","Bills"
"Florence Hosp consult fee ₹750","Health"
"Star Bazaar: cabbage 38₹","Groceries"
"chemist-bill: Crocin/Avil ₹73","Health"
"apple TV+ subs. INR 99","Entertainment"
"pantaloons dress 1790","Shopping"
"Paytm metro TopUp 200 ","Travel"
"Milkbasket – 2L tonedmilk 124₹","Groceries"
"paypal donation-Red Cross $10","Miscellaneous"
"IRCTC: Goa-Trivandrm 2285rs","Travel"
"summer camp kids edu Rs2,000","Education"
"sweetmart pastry x4 120","Food"
"Uber Comfort - Pune 590","Travel"
"muscleblaze protien 2kg ₹1,799","Health"
"Ruchi bazaar: Toor dal 147","Groceries"
"momos street stall Rs67","Food"
"power bill April2025 1160","Bills"
"sastaSundar: bp machine 945 ₹","Health"
"vodaphone bill payd 375","Utilities"
"Barbeque Nation lunch bill 1280","Food"
"fbb kurta ₹1299","Shopping"
"Dmart-sugar 2kg ₹89","Groceries"
"BookmyShow concert pass ₹1300","Entertainment"
"swigg: dal khichdi ₹71","Food"
"Wakefit foam pillow 399INR","Shopping"
"Maruti service oilchange ₹1,250","Bills"
"beauty parlour hairspa 680rs","Miscellaneous"
"spotify family pack $14.99","Entertainment"
"taj hotel dinner 3,612.00","Food"
"train food bill 135","Food"
"reliance water bill 210.71","Bills"
"Himalaya face wash ₹185","Shopping"
"Foodpanda: mutton roll ₹107","Food"
"school books term1 1,300.00₹","Education"
"healthgeenie glucometer ₹599","Health"
"Boat wireless headset Rs749","Shopping"
"talwalkers fitness center 2150","Health"
"apollo covid RTPCR ₹1050","Health"
"sabyasachi saree ₹17,000","Shopping"
"indian bank cc annual fee ₹599","Bills"
"swiggi paneer butter masala 165","Food"
"LIC insurance prem. ₹8,440","Bills"
"zoom Video Webinar $40","Entertainment"
"whsmith - Harry Potter Book 429","Education"
"urbanclap ac repair 799","Miscellaneous"
"Carrefour - jam 2 jars 288₹","Groceries"
"Gas refill - HP 975.5rs","Utilities"
"Amul cheese slices 120g 82","Groceries"
"Dr Yadav XRay 350","Health"
"Uber Pool - Malad to Andheri, ₹124","Travel"
"uber tip 20.00","Travel"
"flipkart-smartwatch ₹2199","Shopping"
"simsim kurtis 3x ₹1,250","Shopping"
"ACT Fibernet Monthly 1,259rs","Utilities"
"FreshnGreen veg 780","Groceries"
"Croma-HomeAppl warranty ₹2,850","Shopping"
"Ola rental Pune- 6hrs Rs1299","Travel"
"swgi: egg roll 119₹","Food"
"IRCTC pantry tea + snack ₹80","Food"
"lenskart power lens pair ₹750","Shopping"
"vodafone 2590rc June2025","Bills"
"PG Entrance exam appn fee2,050₹","Education"
"tajmahal ticket INR 50","Entertainment"
"exide battery inverter ₹7,399","Shopping"
"Fair & Lovely facecream 83","Shopping"
"Kaveri hospital - blood test 400","Health"
"grocery Dmart: samosas 36pair ₹180","Groceries"
"Book fair children books Rs500","Education"
"sbi atm withdrawal charge 18","Miscellaneous"
"primevideo renewal ₹1,499yr","Entertainment"
"air india blr delhi ₹6,320","Travel"
"DailyNinja- spinach bunch 36₹","Groceries"
"UberPremier  BEG to patna rs432","Travel"
"medlife glucometer strips 299₹","Health"
"snickers bar 55gm ₹48","Groceries"
"himalaya neem face pack 98₹","Shopping"
"safarindia cab 219","Travel"
"nestaway rent comm 900.00","Bills"
"sarvana bhavan south meal ₹160","Food"
"Sony Liv year Pack 999","Entertainment"
"coaching fee Physics Rs1400","Education"
"street shop gift pen 40₹","Miscellaneous"
"bengal sweets rasgulla 210","Food"
"foodland papaya ₹72","Groceries"
"fitness trainer advance 3k","Health"
"Vodafone Postpaid 479.00","Bills"
"school uniform tailor 700","Education"
"Dr. Patel consultation fee ₹500","Health"
"Uber ride to airport $21.5","Travel"
"Airtel PREPAID recharge 299rs","Utilities"
"Flipkart - mi Band 5, ₹1899","Shopping"
"Bookmyshow-movie night ₹670","Entertainment"
"Amul Milk (1L) 2 pc ₹96","Groceries"
"Yoga class fees July 1000 INR","Health"
"ebill - BESCOM ₹980","Bills"
"Amazon.in - chemistry textbook ₹730","Education"
"Dominos pizza smeal large 499rs","Food"
"Ola Mini: Kormangala>MG rd 317","Travel"
"paytm water bill ₹360","Bills"
"apolo phcy - syrup 120ml 85","Health"
"Reebok sport shoes Rs3499","Shopping"
"Big Bazar: Rice 5kg ₹320","Groceries"
"Tata sky monthly sub.290INR","Utilities"
"swiggy- burger n fries 221","Food"
"Grofers: detergent x2 ₹270","Groceries"
"Netflix subscription* 649.00","Entertainment"
"Train ticket IRCTC 2S 189.50","Travel"
"McDonalds - mcspcy chkn m 265","Food"
"Vodafone dth recharge:290","Utilities"
"stationery- pens notebooks 78","Education"
"Park entry Tyagraj nagar 130","Entertainment"
"Paytm - elec bill APR ₹1753","Bills"
"Star Bazaar: Apple ₹129/kg","Groceries"
"Cinema-tckts, 2x 'jawan' 800R","Entertainment"
"Uber eats IDLI/VAda chutne 155","Food"
"Recharge-bsnl 222","Utilities"
"doc. consultaion: dr.kiran 350r","Health"
"Spencer’s 3L oil ₹420.00","Groceries"
"BYJU’S-Std 10th science 2100","Education"
"ZMT: PASTA 1 plate 210rs","Food"
"pvrpopcorncoke-210/ screen 3","Entertainment"
"MakeMyTrip- flights Del-blr ₹7600","Travel"
"Reliance fresh – Onions 2kg/99","Groceries"
"UrbanClap Home clean 899","Miscellaneous"
"swiggy bf_dosa 3x $5","Food"
"Snapdeal: shirt blue m ₹599","Shopping"
"croma-EarPods White 2799","Shopping"
"ONSITE AC SERVICE 1200inr","Miscellaneous"
"bsnl landline charges 525 Rs.","Bills"
"Starbucks Caramel Frappecino 345","Food"
"BookFair purchase - novel ₹380","Education"
"agoda hotel blr March 3700","Travel"
"healthkart vitamin tabs 650Rs","Health"
"Amazon Pantry Atta 10KG - 430","Groceries"
"Uber: MG->Jayanagar 310rs","Travel"
"tata sky hd box 1999","Entertainment"
"Big bazar Soap (5x58) ₹290","Groceries"
"Recharge tata docomo 155","Utilities"
"Apollo Dr Singh flu check 790","Health"
"Electricity Bill KEB 2023 ₹1870","Bills"
"Laptop bag Lenovo ₹1449","Shopping"
"medplus - cold tabs ₹78","Health"
"IRCTC TKT: NGP-MUM 2SL ₹1430","Travel"
"railtkt chd-ndls 2S/2x350","Travel"
"Zomato: dal khichdi + curd 210rs","Food"
"Decathlon yoga mat 550 rs.","Shopping"
"Airtel Fiber March ₹599","Utilities"
"Flipkart - zoology notes Rs410","Education"
"Ajio jacket men Black XXL :1199","Shopping"
"Reliance digital fan repair 620","Miscellaneous"
"byjus class 8 enrolment 4100r","Education"
"Recharge - jiofone 75INR","Utilities"
"d mart almonds 500g 365rs","Groceries"
"Ola Auto KR puram>whitefield 176","Travel"
"Sony headphones M4 9999rs","Shopping"
"Zmt peproni pizza slide - 232","Food"
"OYOHotel checkin 1N 1840Rs","Travel"
"Itunes music sub. Feb. ₹129.00","Entertainment"
"Airtel Data topup 1.5GB 58hi","Utilities"
"Reliance Fresh paneer 200g 102","Groceries"
"cafe coffee day cappuccino 151","Food"
"Bookmyshow theatre play 560","Entertainment"
"Recharge: voda 4G weekly 44rs","Utilities"
"Kirana shop - sugar ₹96","Groceries"
"Uber Pool Kmgla>BTM 112","Travel"
"colgate total green x2Rs164","Groceries"
"iTunes – App procreate $9.99","Entertainment"
"bngn train pass Aug 2200 INR","Travel"
"Tommy Hilfiger shirt 3899","Shopping"
"Swiggy chole bhature X3 282","Food"
"dr.vivek child vaccine 850r","Health"
"School fees term 2 ₹19,400","Education"
"Medplus thermomter 325","Health"
"Utility gas pipeline Nov 670","Utilities"
"PVR: Barbie Sun 2 tickets 650","Entertainment"
"Book Palace - Sat prep 799rs","Education"
"Uber XL BANG-MYS 1920.00","Travel"
"Recharge: Jio, 399, 84 days","Utilities"
"Reliance Mart - milk & curd 134","Groceries"
"Zomato: poke bowl / mango lassi 280","Food"
"Fabindia bedsheet 1249INR","Shopping"
"Fortis labs full body chk 1490","Health"
"electricity bill 1341april","Bills"
"Paytm fastag topup ₹600","Travel"
"Big Bazaar Rava 1kg @47","Groceries"
"Sangeetha Mobiles opp. Mall 11499","Shopping"
"Starbucks cookies+coffee ₹425","Food"
"Recharge TATA play monthly 299","Utilities"
"swiggy rajma chawal 170.50","Food"
"Trident hotel - 2N stay ₹12050","Travel"
"Bookmyshow - Joker 3dx 410Rs.","Entertainment"
"bill - upcl elec 1791 rS.","Bills"
"Redbus ticket pny-blr 599","Travel"
"Mi.com: Powerbank 10000mAh ₹1299","Shopping"
"Dr Lal Clinic - Sugar Test 370rs","Health"
"Grofers DettolL Soap 3*55 165R","Groceries"
"UN academy annual 3189.5","Education"
"tata sky kids ch. add 60","Entertainment"
"Keventers shake s.almond 189","Food"
"metro shoes brown Loafers 2099r","Shopping"
"Nagpur orange 1kg ₹85","Groceries"
"ebill - BWSSB Water May 325","Bills"
"IRCTC 3A ticket, hyd-bng 1627","Travel"
"50th anniv. cake bakery ₹799","Food"
"Vivo mobile cover 499 INR","Shopping"
"Recharge aircel 49rs","Utilities"
"dettol handwash refill 65rs","Groceries"
"pvr gold seat add ₹160","Entertainment"
"Ola seden Rajajinagar-Silk B 205","Travel"
"Kroger Fresh Chicken 1.2kg $5.40","Groceries"
"Swiggy: Paneer Masala Combo 255","Food"
"CT Scan (Apollo Hosp) ₹1800","Health"
"Netflix renewal 3m 1999","Entertainment"
"BookWorld - English Gram ₹370","Education"
"Uber - trip id 2130RT ₹315","Travel"
"Zomato: indchinese box ₹300","Food"
"Airtel Landline bill 455rs","Bills"
"Reebok gym T 999.00","Shopping"
"Bisleri 20L can 80rs.","Groceries"
"reliance digital - laptop 31990","Shopping"
"dabur honey 250g ₹110","Groceries"
"PhonePe recharge Jio Rs666","Utilities"
"Dr Sudha ENT consultation 800","Health"
"Myntra summer top pink XS 469","Shopping"
"Ola Micro sci-mysr- 1023r","Travel"
"Starbucks - Oat Latte + Wrap 498","Food"
"grocery mart - rice bran oil 1l 180","Groceries"
"FunCity Arcade 250rs.","Entertainment"
"Paytm Ebill KEB 1256.70","Bills"
"Mega Bytes - broadband 789inr","Utilities"
"H&M socks Mens 3pk 349","Shopping"
"Uber Eats: Palak Paneer 180","Food"
"Scholr App -Maths Crash 799","Education"
"fresh to home - fish 600g 299","Groceries"
"Paytm Water charge Dec 202.","Bills"
"Dr Sonal - dental cleaning ₹1200","Health"
"AmazonBasics pillow cover 349","Shopping"
"BurgerKing Cheese Whopper 189","Food"
"school kit bag + bottle 899","Education"
"Indigo flight 6E-241 9,350","Travel"
"SonyTV 43” smart ₹39,999","Shopping"
"Biryani Blues: Murg Tikka 385 Rs","Food"
"D-Mart: Atta + Dal 322.00","Groceries"
"DLF Cinema show 320","Entertainment"
"Recharge: VI 109 & cashback ₹10","Utilities"
"Anand Book Depot, 6th Sem 1190","Education"
"KFC dinner bucket Thursday 630","Food"
"Bigbasket - ghee 1L 490.99","Groceries"
"Columbia rain jacket M 4999","Shopping"
"Spotify Premium, annual ₹1299","Entertainment"
"Eureka Forbes water filter svc 420","Miscellaneous"
"Saravana Hospital blood work 900","Health"
"Uber outstation - BLR>coorg 3490","Travel"
"Recharge tata docomo 199","Utilities"
"swiggy-pav bhaji, ₹155","Food"
"Bata - chappal rs399","Shopping"
"Apple music subscription $1.29","Entertainment"
"Reliance digital HDMI cable 390R","Shopping"
"Tata Power bill-March 1558","Bills"
"Reliance Fresh - flour ₹80","Groceries"
"Big Basket - Sunflower Oil 1L ₹160","Groceries"
"Zmt Butter naan 2x 78","Food"
